Year,Winning Team,Manager,Age at Victory,5-Year Moving Average
1992,Barcelona,Johan Cruyff,45,
1993,Marseille,Raymond Goethals,71,
1994,Milan,Fabio Capello,47,
1995,Ajax,Louis van Gaal,43,
1996,Juventus,Marcello Lippi,48,50.8
1997,Borussia Dortmund,Ottmar Hitzfeld,48,51.4
1998,Real Madrid,Jupp Heynckes,53,47.8
1999,Manchester United,Alex Ferguson,57,49.8
2000,Real Madrid,Vicente del Bosque,49,51.0
2001,Bayern Munich,Ottmar Hitzfeld,52,51.8
2002,Real Madrid,Vicente del Bosque,51,52.4
2003,Milan,Carlo Ancelotti,43,50.4
2004,Porto,José Mourinho,41,47.2
2005,Liverpool,Rafael Benítez,45,46.4
2006,Barcelona,Frank Rijkaard,43,44.6
2007,Milan,Carlo Ancelotti,47,43.8
2008,Manchester United,Alex Ferguson,66,48.4
2009,Barcelona,Pep Guardiola,38,47.8
2010,Inter Milan,José Mourinho,47,48.2
2011,Barcelona,Pep Guardiola,40,47.6
2012,Chelsea,Roberto Di Matteo,41,46.4
2013,Bayern Munich,Jupp Heynckes,68,46.8
2014,Real Madrid,Carlo Ancelotti,54,50.0
2015,Barcelona,Luis Enrique,45,49.6
2016,Real Madrid,Zinedine Zidane,43,50.2
2017,Real Madrid,Zinedine Zidane,44,50.8
2018,Real Madrid,Zinedine Zidane,45,46.2
2019,Liverpool,Jürgen Klopp,51,45.6
2020,Bayern Munich,Hansi Flick,55,47.6
2021,Chelsea,Thomas Tuchel,47,48.4
2022,Real Madrid,Carlo Ancelotti,62,52.0
2023,Manchester City,Pep Guardiola,52,53.4
2024,Real Madrid,Carlo Ancelotti,65,56.2
2025,Paris Saint-Germain,Luis Enrique,55,56.2
